Title,Image,Rating,Price,Result Type
"Acer Aspire Lite 12th Gen, Intel Core i5-12450H, Office 2024 + M365 Basic, 12GB RAM/512GB SSD, 39.62cm 15.6"" FHD IPS Display, Win 11 Home, Pure Silver, 1.7KG,AL15-52H, Backlit KB, Thin & Light Laptop",https://m.media-amazon.com/images/I/81qzE9lsXkL._AC_UY218_.jpg,4.0 out of 5 stars,"53,990",Ad
"Acer Smartchoice Aspire One, AMD Ryzen 3-7320U, 8GB LPDDR5 RAM/ 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.48KG, A114-43, Thin and Light Laptop",https://m.media-amazon.com/images/I/71ouu-iX3pL._AC_UY218_.jpg,5.0 out of 5 stars,"39,990",Ad
"Lenovo V15 G4 AMD Athlon Silver 7120U Laptop 8GB LPDDR5 Ram, 512 GB SSD PCIe, Windows 11 Lifetime Validity,15.6"" FHD Screen, AMD Radeon 610M, Silver, 1 Year Brand Warranty",https://m.media-amazon.com/images/I/61AccNkmFFL._AC_UY218_.jpg,4.0 out of 5 stars,"42,999",Organic
"Dell 15 (Previously Inspiron) Laptop, 14th Gen Intel Core i3/Core 3 100U Processor, 8GB DDR4, 512 SSD, 15.6"" FHD 120Hz IPS 250 nit Display, Win 11 + Office H&S 2024, Carbon Black, Thin & Light 1.63Kg",https://m.media-amazon.com/images/I/717WZ7WriwL._AC_UY218_.jpg,4.1 out of 5 stars,"46,490",Organic
"Lenovo Chromebook Intel Celeron N4500 (4GB RAM/64GB eMMC 5.1/11.6 Inch (29.46cm)/HD Display/2Wx2 Stereo Speakers/HD Camera/Chrome OS/Blue/1.21Kg), 82UY0014HA",https://m.media-amazon.com/images/I/61aQ9BYq89L._AC_UY218_.jpg,3.9 out of 5 stars,"21,990",Organic
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,5.0 out of 5 stars,"32,490",Organic
"acer SmartChoice Aspire Lite, AMD Ryzen 5-5625U Processor, 16 GB/512 GB, Full HD, 15.6""/39.62 cm, Windows 11 Home, Steel Gray, 1.59 kg, AL15-41, Metal Body, Thin and Light Laptop",https://m.media-amazon.com/images/I/718UBZxpxrL._AC_UY218_.jpg,4.0 out of 5 stars,"45,990",Organic
"Acer Aspire 3 Laptop Intel Core Celeron N4500 Processor Laptop (8 GB LPDDR4X SDRAM/256 GB SSD/Win11 Home/38 WHR/HD Webcam) A325-45 with 39.63 cm (15.6"") HD Display, Pure Silver, 1.5 KG",https://m.media-amazon.com/images/I/41bdNUDc8pL._AC_UY218_.jpg,3.6 out of 5 stars,"36,990",Organic
"𝗛𝗣𝗲𝗹𝗶𝘁𝗲𝗯𝗼𝗼𝗸Model 440 G3 Business Laptop | InteI i5 6th Gen | 8GB RAM - 256GB SSD | 14"" FHD Display | Ultra Slim Silver Body | Win 10 | A+ Condition (Refab)",https://m.media-amazon.com/images/I/61BYfPSEqWL._AC_UY218_.jpg,4.0 out of 5 stars,"24,200",Organic
"HP 15 (2026), Refrbishd AMD Ryzen 5 Hexa Core 7535U - (8 GB DDR5/512 GB SSD/) Thin and Light Business Laptop/15.6"" FHD Display/Turbo Silver/1.5kg",https://m.media-amazon.com/images/I/71vF+WK+vrL._AC_UY218_.jpg,5.0 out of 5 stars,"49,400",Organic
"Acer Smartchoice Aspire One, Intel Core Celeron N4500, Office 2024 + M365 Basic, 12GB LPDDR4X / 256GB SSD, 14.0""/35.56cm TN HD Display, Win 11 Home, Pure Silver, 1.3KG, A114-45, Thin and Light Laptop",https://m.media-amazon.com/images/I/71uoRYyilhL._AC_UY218_.jpg,3.3 out of 5 stars,"35,990",Ad
"Apple 2026 MacBook Neo 13″ Laptop with A18 Pro chip: Built for AI and Apple Intelligence, Liquid Retina Display, 8GB Unified Memory, 256GB SSD Storage, 1080p FaceTime HD Camera; Citrus",https://m.media-amazon.com/images/I/61N2I4e0PNL._AC_UY218_.jpg,4.7 out of 5 stars,"65,000",Ad
"HP 255R G10 Notebook (AMD Athlon Silver 7120U /8GB/512GB/DOS) 15.6-inch(39.6cm), Anti-Glare, HD Laptop, Radeon Graphics, Silver,1.52kg",https://m.media-amazon.com/images/I/71rDlgf2Q6L._AC_UY218_.jpg,N/A,"40,290",Organic
"ASUS Vivobook 15, Smartchoice,Intel Core i3 13th Gen 1315U, 16GB RAM, 512GB SSD, FHD 15.6"", Touchscreen, Win11, Office 24, M365 Basic (1Y), Quiet Blue, 1.7Kg, X1504VA-E83959WS, Intel UHD iGPU, Laptop",https://m.media-amazon.com/images/I/61LN3yfrpfL._AC_UY218_.jpg,4.3 out of 5 stars,"54,990",Organic
"HP 15, 13th Gen Intel Core i3-1315U Laptop (8GB DDR4,512GB SSD) Anti-Glare, Micro-Edge,15.6''/39.6cm, FHD, Win11,M365 Basic(1yr),Office Home24, Silver,1.59kg, FHD Camera w/Privacy Shutter, fd0569TU",https://m.media-amazon.com/images/I/61R5Ecv7i-L._AC_UY218_.jpg,4.2 out of 5 stars,"50,040",Organic
"Lenovo IdeaPad 1 AMD Ryzen 5 5500U 15.6"" HD Thin and Light Laptop (8GB RAM/512GB SSD/Windows 11 Home/Office Home 2024/1 Year ADP Free/Grey/1.6Kg), 82R4011MIN",https://m.media-amazon.com/images/I/71xHNSCyRsL._AC_UY218_.jpg,4.1 out of 5 stars,"49,950",Organic
"HP Victus, AMD Ryzen 7 7445HS, 6GB RTX 4050, 16GB DDR5(Upgradeable) 512GB SSD, 144Hz, IPS, 300nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Blue, 2.29kg, fb3130AX, Backlit, DTS Audio, Gaming Laptop",https://m.media-amazon.com/images/I/71r2ySSfgBL._AC_UY218_.jpg,4.2 out of 5 stars,"89,990",Organic
"𝗗𝗲𝗹𝗹Laptop Model 5420 | 𝗜𝗡𝗧𝗘𝗟i5 11th Gen Processor |8GB DDR4 RAM |256GB SSD |14"" FHD Display | Win10 | A+ Condition Laptop (Refab)",https://m.media-amazon.com/images/I/51LHNjAjH9L._AC_UY218_.jpg,5.0 out of 5 stars,"31,590",Organic
"BrowseBook 14.1"" FHD IPS Laptop | Best Student & Office Work Laptop | Celeron N4020 | 4GB RAM | 256GB SSD | Windows 11 | 38Wh | 1.3kg | Grey",https://m.media-amazon.com/images/I/71h+7L8gcrL._AC_UY218_.jpg,2.7 out of 5 stars,"21,990",Organic
"HP Smartchoice OmniBook 5 OLED (Previously Pavilion), Snapdragon X Processor (16GB LPDDR5x, 512GB SSD) 2K, 14''/35.6cm, Win11, M365(1yr)* Office24, Silver, 1.35kg, he0014QU, Next-Gen AI Laptop",https://m.media-amazon.com/images/I/71ZlIDunitL._AC_UY218_.jpg,4.2 out of 5 stars,"79,990",Organic
"HP OmniBook AMD Ryzen 5 New AI 330 Processor (24GB DDR5 Ram, 1TB SSD), Anti-Glare,15.6''/39.6cm FHD, Win11,Office24, Silver,1.7kg, FHD Camera with Shutter, Fingerprint Reador, Backlit KB fn0074AU",https://m.media-amazon.com/images/I/71ic0yMZhTL._AC_UY218_.jpg,4.9 out of 5 stars,"69,990",Ad
"Apple 2026 MacBook Pro Laptop with M5 Max chip with 18‑core CPU and 40‑core GPU: Built for AI, 41.05 cm (16.2″) Liquid Retina XDR Display, 48GB Unified Memory, 2TB SSD Storage; Silver",https://m.media-amazon.com/images/I/61NJjTxLyiL._AC_UY218_.jpg,4.3 out of 5 stars,"4,99,900",Ad
